window_size;n_lstm;dropout;optimizer;best_val_acc
3;32;0.0;adam;0.2874999940395355
3;32;0.2;adam;0.28949999809265137
3;32;0.0;rmsprop;0.28450000286102295
3;32;0.2;rmsprop;0.29499998688697815
3;256;0.0;adam;0.2694999873638153
3;256;0.2;adam;0.2865000069141388
3;256;0.0;rmsprop;0.2709999978542328
3;256;0.2;rmsprop;0.28999999165534973
3;512;0.0;adam;0.27799999713897705
3;512;0.2;adam;0.2759999930858612
3;512;0.0;rmsprop;0.2630000114440918
3;512;0.2;rmsprop;0.289000004529953
4;32;0.0;adam;0.28700000047683716
4;32;0.2;adam;0.2865000069141388
4;32;0.0;rmsprop;0.28299999237060547
4;32;0.2;rmsprop;0.29600000381469727
4;256;0.0;adam;0.2750000059604645
4;256;0.2;adam;0.29249998927116394
4;256;0.0;rmsprop;0.2475000023841858
4;256;0.2;rmsprop;0.27900001406669617
4;512;0.0;adam;0.2720000147819519
4;512;0.2;adam;0.27000001072883606
4;512;0.0;rmsprop;0.2815000116825104
4;512;0.2;rmsprop;0.2930000126361847
12;32;0.0;adam;0.28600001335144043
12;32;0.2;adam;0.29249998927116394
12;32;0.0;rmsprop;0.29750001430511475
12;32;0.2;rmsprop;0.30250000953674316
12;256;0.0;adam;0.2904999852180481
12;256;0.2;adam;0.29249998927116394
12;256;0.0;rmsprop;0.2784999907016754
12;256;0.2;rmsprop;0.2904999852180481
12;512;0.0;adam;0.2919999957084656
12;512;0.2;adam;0.3009999990463257
12;512;0.0;rmsprop;0.25999999046325684
12;512;0.2;rmsprop;0.3019999861717224
