window_size;n_lstm;dropout;optimizer;best_val_acc
3;32;0.0;adam;0.1589999943971634
3;32;0.2;adam;0.15199999511241913
3;32;0.0;rmsprop;0.15600000321865082
3;32;0.2;rmsprop;0.16300000250339508
3;256;0.0;adam;0.12999999523162842
3;256;0.2;adam;0.1379999965429306
3;256;0.0;rmsprop;0.1420000046491623
3;256;0.2;rmsprop;0.15000000596046448
3;512;0.0;adam;0.13300000131130219
3;512;0.2;adam;0.13699999451637268
3;512;0.0;rmsprop;0.1420000046491623
3;512;0.2;rmsprop;0.14300000667572021
4;32;0.0;adam;0.16099999845027924
4;32;0.2;adam;0.15600000321865082
4;32;0.0;rmsprop;0.15700000524520874
4;32;0.2;rmsprop;0.164000004529953
4;256;0.0;adam;0.1459999978542328
4;256;0.2;adam;0.14000000059604645
4;256;0.0;rmsprop;0.13300000131130219
4;256;0.2;rmsprop;0.15000000596046448
4;512;0.0;adam;0.1379999965429306
4;512;0.2;adam;0.13099999725818634
4;512;0.0;rmsprop;0.13500000536441803
4;512;0.2;rmsprop;0.14000000059604645
12;32;0.0;adam;0.1589999943971634
12;32;0.2;adam;0.16099999845027924
12;32;0.0;rmsprop;0.16699999570846558
12;32;0.2;rmsprop;0.16899999976158142
12;256;0.0;adam;0.16099999845027924
12;256;0.2;adam;0.16599999368190765
12;256;0.0;rmsprop;0.1589999943971634
12;256;0.2;rmsprop;0.15800000727176666
12;512;0.0;adam;0.14800000190734863
12;512;0.2;adam;0.14800000190734863
12;512;0.0;rmsprop;0.15399999916553497
12;512;0.2;rmsprop;0.13300000131130219
